15:12:44 08/21/2018 
Temp= 28.684520 ;*C 
Humidity= 40.187111 ;% 
Pressure= 758.456436 ;torr 
Altitude= 17.150777 ;meters 
Full Spectrum(IR + Visible)= 54 ;lux 
Infrared Value= 10 ;lux 
Visible Value= 44 ;lux 
CO2= 930.000000 ;ppm 
 
15:12:54 08/21/2018 
Temp= 28.744489 ;*C 
Humidity= 53.041990 ;% 
Pressure= 758.477484 ;torr 
Altitude= 16.916763 ;meters 
Full Spectrum(IR + Visible)= 81 ;lux 
Infrared Value= 14 ;lux 
Visible Value= 67 ;lux 
CO2= 879.000000 ;ppm 
 
15:13:04 08/21/2018 
Temp= 28.807631 ;*C 
Humidity= 57.890328 ;% 
Pressure= 758.484469 ;torr 
Altitude= 16.839109 ;meters 
Full Spectrum(IR + Visible)= 83 ;lux 
Infrared Value= 15 ;lux 
Visible Value= 68 ;lux 
CO2= 581.000000 ;ppm 
 
15:13:14 08/21/2018 
Temp= 28.859667 ;*C 
Humidity= 60.750597 ;% 
Pressure= 758.508709 ;torr 
Altitude= 16.569619 ;meters 
Full Spectrum(IR + Visible)= 84 ;lux 
Infrared Value= 15 ;lux 
Visible Value= 69 ;lux 
CO2= 376.000000 ;ppm 
 
15:13:24 08/21/2018 
Temp= 28.894887 ;*C 
Humidity= 62.011443 ;% 
Pressure= 758.511289 ;torr 
Altitude= 16.540940 ;meters 
Full Spectrum(IR + Visible)= 83 ;lux 
Infrared Value= 15 ;lux 
Visible Value= 68 ;lux 
CO2= 242.000000 ;ppm 
 
15:13:34 08/21/2018 
Temp= 28.921223 ;*C 
Humidity= 62.793711 ;% 
Pressure= 758.505793 ;torr 
Altitude= 16.602036 ;meters 
Full Spectrum(IR + Visible)= 84 ;lux 
Infrared Value= 15 ;lux 
Visible Value= 69 ;lux 
CO2= 159.000000 ;ppm 
 
15:13:44 08/21/2018 
Temp= 28.942482 ;*C 
Humidity= 63.319235 ;% 
Pressure= 758.501890 ;torr 
Altitude= 16.645429 ;meters 
Full Spectrum(IR + Visible)= 85 ;lux 
Infrared Value= 15 ;lux 
Visible Value= 70 ;lux 
CO2= 106.000000 ;ppm 
 
15:13:54 08/21/2018 
Temp= 28.956443 ;*C 
Humidity= 63.582142 ;% 
Pressure= 758.494156 ;torr 
Altitude= 16.731419 ;meters 
Full Spectrum(IR + Visible)= 84 ;lux 
Infrared Value= 15 ;lux 
Visible Value= 69 ;lux 
CO2= 80.000000 ;ppm 
 
15:14:04 08/21/2018 
Temp= 28.967548 ;*C 
Humidity= 63.722541 ;% 
Pressure= 758.485689 ;torr 
Altitude= 16.825545 ;meters 
Full Spectrum(IR + Visible)= 85 ;lux 
Infrared Value= 15 ;lux 
Visible Value= 70 ;lux 
CO2= 64.000000 ;ppm 
 
15:14:15 08/21/2018 
Temp= 28.974846 ;*C 
Humidity= 63.740386 ;% 
Pressure= 758.493394 ;torr 
Altitude= 16.739882 ;meters 
Full Spectrum(IR + Visible)= 81 ;lux 
Infrared Value= 14 ;lux 
Visible Value= 67 ;lux 
CO2= 52.000000 ;ppm 
 
15:14:25 08/21/2018 
Temp= 28.979922 ;*C 
Humidity= 63.775599 ;% 
Pressure= 758.499550 ;torr 
Altitude= 16.671444 ;meters 
Full Spectrum(IR + Visible)= 84 ;lux 
Infrared Value= 15 ;lux 
Visible Value= 69 ;lux 
CO2= 45.000000 ;ppm 
 
15:14:35 08/21/2018 
Temp= 28.979922 ;*C 
Humidity= 63.758117 ;% 
Pressure= 758.473712 ;torr 
Altitude= 16.958708 ;meters 
Full Spectrum(IR + Visible)= 84 ;lux 
Infrared Value= 15 ;lux 
Visible Value= 69 ;lux 
CO2= 43.000000 ;ppm 
 
15:14:45 08/21/2018 
Temp= 28.979922 ;*C 
Humidity= 63.752289 ;% 
Pressure= 758.475004 ;torr 
Altitude= 16.944345 ;meters 
Full Spectrum(IR + Visible)= 84 ;lux 
Infrared Value= 15 ;lux 
Visible Value= 69 ;lux 
